افريقا	Afrika
کينډۍ:د هېواد مالومات تونېسيا	Mall:Landsdata Tunisien
کينډۍ:د هېواد مالومات د چېک جمهوريت	Mall:Landsdata Tjeckien
کينډۍ:د هېواد مالومات تايلنډ	Mall:Landsdata Thailand
کينډۍ:د هېواد مالومات کيوبا	Mall:Landsdata Kuba
کينډۍ:د هېواد مالومات اندونېزيا	Mall:Landsdata Indonesien
کينډۍ:د هېواد مالومات کمبوډيا	Mall:Landsdata Kambodja
کينډۍ:د هېواد مالومات سېنېگال	Mall:Landsdata Senegal
کينډۍ:د هېواد مالومات ماداګاسکر	Mall:Landsdata Madagaskar
کينډۍ:د هېواد مالومات البانيا	Mall:Landsdata Albanien
وېشنيزه:درملپوهنه	Kategori:Farmakologi
کينډۍ:د هېواد مالومات پېرو	Mall:Landsdata Peru
کينډۍ:د هېواد مالومات پاراګوای	Mall:Landsdata Paraguay
کينډۍ:د هېواد مالومات کېنيا	Mall:Landsdata Kenya
کينډۍ:د هېواد مالومات نيکاراګوا	Mall:Landsdata Nicaragua
کينډۍ:د هېواد مالومات هندوراس	Mall:Landsdata Honduras
کينډۍ:د هېواد مالومات ازبکستان	Mall:Landsdata Uzbekistan
کينډۍ:د هېواد مالومات بولېويا	Mall:Landsdata Bolivia
کينډۍ:د هېواد مالومات د ډومينيکان جمهوريت	Mall:Landsdata Dominikanska republiken
کينډۍ:د هېواد مالومات توگو	Mall:Landsdata Togo
کينډۍ:د هېواد مالومات ګواتمالا	Mall:Landsdata Guatemala
وېشنيزه:ژبپوهنه	Kategori:Lingvistik
کينډۍ:د هېواد مالومات هايېتي	Mall:Landsdata Haiti
کينډۍ:د هېواد مالومات مالي	Mall:Landsdata Mali
کينډۍ:د هېواد مالومات مولدووا	Mall:Landsdata Moldavien
کينډۍ:د هېواد مالومات لاتويا	Mall:Landsdata Lettland
کينډۍ:د هېواد مالومات مالټا	Mall:Landsdata Malta
کينډۍ:د هېواد مالومات ډېنمارک	Mall:Landsdata Danmark
کينډۍ:د هېواد مالومات آيسلېنډ	Mall:Landsdata Island
کينډۍ:د هېواد مالومات پولنډ	Mall:Landsdata Polen
کينډۍ:د هېواد مالومات کېپ وردا	Mall:Landsdata Kap Verde
کينډۍ:د هېواد مالومات بلغاريه	Mall:Landsdata Bulgarien
کينډۍ:د هېواد مالومات بوسنيا او هېرزگوينا	Mall:Landsdata Bosnien och Hercegovina
کينډۍ:د هېواد مالومات ګايانا	Mall:Landsdata Guyana
کينډۍ:Wikivar	Mall:Wikivar
کينډۍ:د هېواد مالومات ناروې	Mall:Landsdata Norge
کينډۍ:د هېواد مالومات سوېلي افريقا	Mall:Landsdata Sydafrika
کينډۍ:د هېواد مالومات جمايکا	Mall:Landsdata Jamaica
کينډۍ:د هېواد مالومات ګورجستان	Mall:Landsdata Georgien
کينډۍ:د هېواد مالومات ارجنټاين	Mall:Landsdata Argentina
کينډۍ:د هېواد مالومات يوروګوای	Mall:Landsdata Uruguay
کينډۍ:Country showdata	Mall:Land showdata
کينډۍ:د هېواد مالومات ټرېنېډاډ او توباګو	Mall:Landsdata Trinidad och Tobago
کينډۍ:د انځور نښه	Mall:Image label
کينډۍ:د هېواد مالومات برونای	Mall:Landsdata Brunei
کينډۍ:د هېواد مالومات سريلانکا	Mall:Landsdata Sri Lanka
کينډۍ:د هېواد مالومات مکسيکو	Mall:Landsdata Mexiko
کينډۍ:د هېواد مالومات یونان	Mall:Landsdata Grekland
کينډۍ:د هېواد مالومات لوکسېمبورگ	Mall:Landsdata Luxemburg
کينډۍ:د هېواد مالومات سعودي عربستان	Mall:Landsdata Saudiarabien
کينډۍ:د هېواد مالومات بهاماس	Mall:Landsdata Bahamas
کينډۍ:د هېواد مالومات کرواتيا	Mall:Landsdata Kroatien
کينډۍ:د هېواد مالومات عراق	Mall:Landsdata Irak
کينډۍ:ليکوال-مالوماتبکس/لاسوند	Mall:Författare
کينډۍ:د هېواد مالومات متحده عرب امارات	Mall:Landsdata Förenade Arabemiraten
کينډۍ:د هېواد مالومات ماروکو	Mall:Landsdata Marocko
کينډۍ:د هېواد مالومات سربيا	Mall:Landsdata Serbien
کينډۍ:د هېواد مالومات آسټراليا	Mall:Landsdata Australien
کينډۍ:د هېواد مالومات فرانسه	Mall:Landsdata Frankrike
کينډۍ:Ambox	Mall:Ambox
کينډۍ:هېواد-مالوماتبکس	Mall:Landsfakta
کينډۍ:د هېواد مالومات لاووس	Mall:Landsdata Laos
کينډۍ:د هېواد مالومات اتريش	Mall:Landsdata Österrike
کينډۍ:د هېواد مالومات نيپال	Mall:Landsdata Nepal
کينډۍ:ترسره شو	Mall:Utfört
کينډۍ:د هېواد مالومات فېنلاند	Mall:Landsdata Finland
کينډۍ:Audio	Mall:Audio
کينډۍ:د هېواد مالومات مصر	Mall:Landsdata Egypten
کينډۍ:د هېواد مالومات لېتوانيا	Mall:Landsdata Litauen
کينډۍ:د هېواد مالومات جاپان	Mall:Landsdata Japan
کينډۍ:ساينسپوه-مالوماتبکس	Mall:Infobox forskare
کينډۍ:پوهنتون مالوماتبکس/لاسوند	Mall:Universitet
کينډۍ:د هېواد مالومات آذربايجان	Mall:Landsdata Azerbajdzjan
کينډۍ:د فايرفاکس کارن	Mall:Användare Firefox
کينډۍ:Ar	Mall:Lang-ar
کينډۍ:د هېواد مالومات وېتنام	Mall:Landsdata Vietnam
کينډۍ:Featured article	Mall:Utmärkt
کينډۍ:د هېواد مالومات لېبيا	Mall:Landsdata Libyen
کينډۍ:د هېواد مالومات روسیه	Mall:Landsdata Ryssland
وېشنيزه:User en	Kategori:Användare en
وېشنيزه:User en-2	Kategori:Användare en-2
کينډۍ:مالوماتبکس	Mall:Faktamall
کينډۍ:د ايران ولايتونه	Mall:Irans provinser
کينډۍ:Navy	Mall:Flotta
کينډۍ:د هېواد مالومات اېکواټوريال گوينا	Mall:Landsdata Ekvatorialguinea
کينډۍ:User zh	Mall:Användare zh
کينډۍ:Colorbox	Mall:Färglåda
وېشنيزه:دوتر توکي	Kategori:Kontorsvaror
کينډۍ:د هېواد مالومات اټاليا	Mall:Landsdata Italien
کينډۍ:د المان ايالتي نقشه	Mall:Tysklands förbundsländer
کينډۍ:User ru-4	Mall:Användare ru-4
کينډۍ:د هېواد مالومات سويډن	Mall:Landsdata Sverige
وېشنيزه:کرهڼه	Kategori:Jordbruk
کينډۍ:User ru	Mall:Användare ru
کينډۍ:نغا	Mall:IPA
وېشنيزه:سياستوال	Kategori:Politiker
وېشنيزه:امريکا	Kategori:Amerika
کينډۍ:د هېواد مالومات کوسټاريکا	Mall:Landsdata Costa Rica
کينډۍ:د هېواد مالومات هند	Mall:Landsdata Indien
کينډۍ:د هېواد مالومات الجېريا	Mall:Landsdata Algeriet
کينډۍ:د هېواد مالومات وېنېزوېلا	Mall:Landsdata Venezuela
کينډۍ:د هېواد مالومات فيجي	Mall:Landsdata Fiji
کينډۍ:Infobox Officeholder	Mall:Infobox politiker
کينډۍ:د هېواد مالومات انډورا	Mall:Landsdata Andorra
کينډۍ:د هېواد مالومات آنگولا	Mall:Landsdata Angola
کينډۍ:د هېواد مالومات بوټسوانا	Mall:Landsdata Botswana
کينډۍ:د هېواد مالومات اروپايي اتحاديه	Mall:Landsdata Europeiska unionen
کينډۍ:Border	Mall:Border
کينډۍ:د هېواد مالومات ډومنيکا	Mall:Landsdata Dominica
کينډۍ:د هېواد مالومات پارتوګال	Mall:Landsdata Portugal
کينډۍ:د هېواد مالومات واټيکان ښار	Mall:Landsdata Vatikanstaten
کينډۍ:د هېواد مالومات چین	Mall:Landsdata Kina
کينډۍ:د هېواد مالومات بېنين	Mall:Landsdata Benin
کينډۍ:د هېواد مالومات د کانگو جمهوريت	Mall:Landsdata Republiken Kongo
کينډۍ:ويکيسازنه	Mall:Ickewiki
کينډۍ:د هېواد مالومات ترکيه	Mall:Landsdata Turkiet
وېشنيزه:ليکوال	Kategori:Författare
کينډۍ:د هېواد مالومات قبرس	Mall:Landsdata Cypern
کينډۍ:د هېواد مالومات سويتزرلاند	Mall:Landsdata Schweiz
کينډۍ:د هېواد مالومات فلېپين	Mall:Landsdata Filippinerna
کينډۍ:د هېواد مالومات نايجېريا	Mall:Landsdata Nigeria
کينډۍ:د هېواد مالومات آيرلنډ	Mall:Landsdata Vitryssland
کينډۍ:د هېواد مالومات مالېزيا	Mall:Landsdata Malaysia
کينډۍ:د هېواد مالومات ارمنستان	Mall:Landsdata Armenien
کينډۍ:د هېواد مالومات زېمبابوې	Mall:Landsdata Zimbabwe
کينډۍ:د هېواد مالومات ختيځ تېمور	Mall:Landsdata Östtimor
وېشنيزه:تومانچې	Kategori:Pistoler
کينډۍ:د هېواد مالومات ماينامار	Mall:Landsdata Myanmar
کينډۍ:د هېواد مالومات قزاقستان	Mall:Landsdata Kazakstan
کينډۍ:د هېواد مالومات چېلي	Mall:Landsdata Chile
کينډۍ:د هېواد مالومات سلووېنيا	Mall:Landsdata Slovenien
کينډۍ:د هېواد مالومات لبنان	Mall:Landsdata Libanon
کينډۍ:د کتاب مالوماتبکس-1	Mall:Bokfakta
وېشنيزه:اسلامي وييپانګه	Kategori:Ord och fraser på arabiska
کينډۍ:د هېواد مالومات بهوټان	Mall:Landsdata Bhutan
کينډۍ:Booland	Mall:Both
وېشنيزه:څارګرې ادارې	Kategori:Underrättelseorgan
کينډۍ:سورت	Mall:Suror
کينډۍ:Lang-la	Mall:Lang-la
کينډۍ:Lang-el	Mall:Lang-el
محمد هاشم زماني	Mohammad Hashem Zamani
وېشنيزه:اخلاق	Kategori:Etik
د سره صليب نړيواله ټولنه	Internationella Rödakorskommittén
وېشنيزه:چاودېدونكى مواد	Kategori:Sprängämnen
کينډۍ:Mergefrom	Mall:Infoga från
وېشنيزه:سولګر	Kategori:Datorer
وېشنيزه:توکي	Kategori:Utrustning
کينډۍ:MMAstatsbox	Mall:MMA-utövare
وېشنيزه:پخوانی ژبې	Kategori:Utdöda språk
وېشنيزه:User ja-N	Kategori:Användare ja-N
تانبه:اسلام	Portal:Islam
کينډۍ:Polytonic	Mall:Polytonic
کينډۍ:تانبې گرځښتپټه	Mall:Browsebar
کينډۍ:نامبهمېدنه	Mall:Förgrening
وېشنيزه:اسرائیلي جوماتونه	Kategori:Moskéer i Israel
وېشنيزه:د ایران امپراتورۍ او پاچاهۍ	Kategori:Persien
وېشنيزه:پوځي الوتکې	Kategori:Stridsflygplan
کينډۍ:Lang-grc	Mall:Lang-grc
کينډۍ:د هېواد مالومات کوموروس	Mall:Landsdata Komorerna
کينډۍ:د فلسفې سرليکونه	Mall:Filosofi navigation
کينډۍ:Lang-pt	Mall:Lang-pt
کينډۍ:د هېواد مالومات قطر	Mall:Landsdata Qatar
کينډۍ:FRA	Mall:FRA
کينډۍ:د هېواد مالومات اسرایل	Mall:Landsdata Israel
کينډۍ:د هېواد مالومات اوکراين	Mall:Landsdata Ukraina
کينډۍ:د هېواد مالومات کولمبيا	Mall:Landsdata Colombia
کينډۍ:د هېواد مالومات ګانا	Mall:Landsdata Ghana
کينډۍ:د هېواد مالومات رومانیا	Mall:Landsdata Rumänien
کينډۍ:د هېواد مالومات سوېلي کوريا	Mall:Landsdata Sydkorea
کينډۍ:Npov	Mall:POV
کينډۍ:د هېواد مالومات بحرين	Mall:Landsdata Bahrain
وېشنيزه:User ja	Kategori:Användare ja
وېشنيزه:User ko-N	Kategori:Användare ko-N
وېشنيزه:User ru-N	Kategori:Användare ru-N
وېشنيزه:وختتېری	Kategori:Nöjen
وېشنيزه:افغاني ټولنه	Kategori:Afghanistans samhälle
وېشنيزه:تاريخپوهان	Kategori:Historiker
وېشنيزه:User de	Kategori:Användare de
وېشنيزه:User de-N	Kategori:Användare de-N
کينډۍ:د افغانستان ولايتونه	Mall:Afghanistans provinser
وېشنيزه:User en-3	Kategori:Användare en-3
وېشنيزه:User en-N	Kategori:Användare en-N
وېشنيزه:User fa	Kategori:Användare fa
کينډۍ:N/A	Mall:N/a
وېشنيزه:د اسلام پيغمبران	Kategori:Islamiska profeter
کينډۍ:د هېواد مالومات برونډي	Mall:Landsdata Burundi
کينډۍ:د هېواد مالومات جرمني	Mall:Landsdata Tyskland
کينډۍ:د هېواد مالومات بريتانيه	Mall:Landsdata Storbritannien
وېشنيزه:مېچپوهنه	Kategori:Geometri
کينډۍ:د هېواد مالومات اېسټونيا	Mall:Landsdata Estland
کينډۍ:Weather box	Mall:Klimattabell
وېشنيزه:هنرمندان	Kategori:Konstnärer
وېشنيزه:User ja-1	Kategori:Användare ja-1
وېشنيزه:ژمنۍ لوبې	Kategori:Vintersport
وېشنيزه:User ko	Kategori:Användare ko
وېشنيزه:د امريکا د متحده ايالاتو ايالتونه	Kategori:USA:s delstater
کينډۍ:Smallsup	Mall:Smallsup
وېشنيزه:بانکوالی	Kategori:Bankväsen
کينډۍ:د هېواد مالومات د عاج ساحل	Mall:Landsdata Elfenbenskusten
وېشنيزه:د ایران ولایتونه	Kategori:Irans provinser
وېشنيزه:User ru-1	Kategori:Användare ru-1
وېشنيزه:مخدره مواد	Kategori:Droger
وېشنيزه:اند	Kategori:Tänkande
وېشنيزه:سياسي هڅوب	Kategori:Politisk kultur
وېشنيزه:لمريز غونډال	Kategori:Solsystemet
کينډۍ:د هېواد مالومات برازیل	Mall:Landsdata Brasilien
وېشنيزه:مخترعين	Kategori:Uppfinnare
وېشنيزه:سر او غاړه	Kategori:Huvud och hals
کينډۍ:د هېواد مالومات سوازيلاند	Mall:Landsdata Swaziland
وېشنيزه:ژوپوهنه	Kategori:Zoologi
تانبه:دين	Portal:Religion
وېشنيزه:هلیکوپترونه	Kategori:Helikoptrar
وېشنيزه:ټولنيزې پوهنې	Kategori:Samhällsvetenskap
کينډۍ:د هېواد مالومات هنګري	Mall:Landsdata Ungern
وېشنيزه:د آفریقاهیوادونه	Kategori:Afrikas länder
کينډۍ:د هېواد مالومات نيوزيلاند	Mall:Landsdata Nya Zeeland
وېشنيزه:القاعده	Kategori:Al-Qaida
وېشنيزه:User ro-3	Kategori:Användare ro-3
وېشنيزه:User ru	Kategori:Användare ru
وېشنيزه:User ru-2	Kategori:Användare ru-2
وېشنيزه:User ru-3	Kategori:Användare ru-3
وېشنيزه:User ru-4	Kategori:Användare ru-4
کينډۍ:انبيا په قرآن كې	Mall:Profeter i Koranen
کينډۍ:Lang	Mall:Lang
کينډۍ:د هېواد مالومات ترکمنستان	Mall:Landsdata Turkmenistan
وېشنيزه:د ۱۹۵۷ کال زېږېدنې	Kategori:Födda 1957
کينډۍ:د هېواد مالومات سهېلي کوريا	Mall:Landsdata Nordkorea
کينډۍ:د هېواد مالومات افغانستان	Mall:Landsdata Afghanistan
کينډۍ:د هېواد مالومات بنگله دېش	Mall:Landsdata Bangladesh
لوگر ولايت	Lowgar (provins)
وېشنيزه:افغانان	Kategori:Afghaner
وېشنيزه:بي بي سي	Kategori:BBC
د آلمان دپاره آلترناتیف	Alternativ för Tyskland
کينډۍ:د هېواد مالومات د کانگو ډيموکراتيک جمهوريت	Mall:Landsdata Demokratiska republiken Kongo
کينډۍ:ICDO	Mall:ICDO
وېشنيزه:اوبتلونه	Kategori:Ubåtar
وېشنيزه:ماشیندارونه	Kategori:Kulsprutepistoler
وېشنيزه:ليبيا	Kategori:Libyen
وېشنيزه:افغاني رسنۍ	Kategori:Media i Afghanistan
مجاور احمد زيار	Mujawar Ahmad Ziar
وېشنيزه:په وچې پورې تړلي هیوادونه	Kategori:Kustlösa stater
وېشنيزه:د افغانستان وټه	Kategori:Afghanistans ekonomi
کينډۍ:Infobox Language/family-color	Mall:Språk/familj-färg
کينډۍ:User ru-1	Mall:Användare ru-1
کينډۍ:د هېواد مالومات بېلاز	Mall:Landsdata Belize
کينډۍ:د هېواد مالومات کوسووا	Mall:Landsdata Kosovo
کينډۍ:د هېواد مالومات ماورېتانيا	Mall:Landsdata Mauretanien
کينډۍ:د هېواد مالومات ګابون	Mall:Landsdata Gabon
کينډۍ:د هېواد مالومات جبوتي	Mall:Landsdata Djibouti
کينډۍ:د هېواد مالومات آروبا	Mall:Landsdata Aruba
کينډۍ:د هېواد مالومات سوډان	Mall:Landsdata Sudan
کينډۍ:د هېواد مالومات چاډ	Mall:Landsdata Tchad
وېشنيزه:روسي ساينسپوهان	Kategori:Ryska forskare
وېشنيزه:بازارموندنه	Kategori:Marknadsföring
وېشنيزه:د نړۍ هېوادونه	Kategori:Internationella relationer
کينډۍ:د هېواد مالومات انټيگ او بربودا	Mall:Landsdata Antigua och Barbuda
کينډۍ:د هېواد مالومات ګامبيا	Mall:Landsdata Gambia
وېشنيزه:غږپوهنه	Kategori:Fonologi
کينډۍ:د هېواد مالومات نامېبيا	Mall:Landsdata Namibia
کينډۍ:Tnavbar-header	Mall:Navbar-header
وېشنيزه:مالیه	Kategori:Finansväsen
وېشنيزه:د افغانستان ولايتونه	Kategori:Afghanska provinser
وېشنيزه:د چېک خلک	Kategori:Tjecker
وېشنيزه:مرکزي بانکونه	Kategori:Centralbanker
وېشنيزه:کيمياوي توکي	Kategori:Grundämnen
وېشنيزه:امريکايي فيلسوفان	Kategori:Amerikanska filosofer
وېشنيزه:ساينسپوهان	Kategori:Forskare
وېشنيزه:سولګر ملتونونه	Kategori:Datorföretag
وېشنيزه:د افغانستان پوځ	Kategori:Afghanistans militär
وېشنيزه:سهېلي کوريا	Kategori:Nordkorea
وېشنيزه:د ليبيا خلک	Kategori:Libyer
وېشنيزه:د آسيا ارزونه	Kategori:Asiatiska valutor
وېشنيزه:ايراني سیاستوال	Kategori:Iranska politiker
وېشنيزه:د پاکستان سياستوال	Kategori:Pakistanska politiker
کينډۍ:د هېواد مالومات بورکينا فاسو	Mall:Landsdata Burkina Faso
کينډۍ:د هېواد مالومات د منځنۍ افريقا جمهوريت	Mall:Landsdata Centralafrikanska republiken
وېشنيزه:خبريالي	Kategori:Journalistik
وېشنيزه:اوزبکستان	Kategori:Uzbekistan
وېشنيزه:عثماني پېر	Kategori:Osmanska riket
وېشنيزه:افغاني ليکوال	Kategori:Afghanska författare
کينډۍ:د هېواد مالومات سېچېلېس	Mall:Landsdata Seychellerna
کينډۍ:د هېواد مالومات پاپوا نيوګوينا	Mall:Landsdata Papua Nya Guinea
وېشنيزه:پاکستاني هېوادمشران	Kategori:Pakistans presidenter
وېشنيزه:مېوې	Kategori:Frukter
وېشنيزه:د اروپا سيمې	Kategori:Regioner i Europa
وېشنيزه:د آسیا جغرافیا	Kategori:Asiens geografi
وېشنيزه:جوماتونه	Kategori:Moskéer
وېشنيزه:د ترکیې جوماتونه	Kategori:Moskéer i Turkiet
وېشنيزه:دانټي رېټرووايرل درملونه	Kategori:Antiretrovirala läkemedel
وېشنيزه:انتي بيوتيکونه	Kategori:Antibiotika
وېشنيزه:مسکنونه	Kategori:Analgetika
وېشنيزه:ددرمل شکل	Kategori:Beredningsformer
وېشنيزه:د شمېرپوهنې ډګرونه	Kategori:Delområden inom matematik
وېشنيزه:خبري اژانس	Kategori:Nyhetsbyråer
وېشنيزه:بشرِی حقوق	Kategori:Mänskliga rättigheter
تورن	Kapten (olika betydelser)
وېشنيزه:ناټو	Kategori:Nato
وېشنيزه:پوځي وييونه	Kategori:Militära termer och begrepp
وېشنيزه:غړي	Kategori:Organ
وېشنيزه:وسلې	Kategori:Vapen
وېشنيزه:افغان سندرغاړي	Kategori:Afghanska sångare
وېشنيزه:بم غورځونکي الوتکې	Kategori:Bombflygplan
وېشنيزه:د بېټا-لاکټاماز انتي بيوتيکونه	Kategori:Beta-laktamantibiotika
وېشنيزه:پاړسي ژبه	Kategori:Persiska
وېشنيزه:اېډز	Kategori:HIV/AIDS
وېشنيزه:قران	Kategori:Koranen
وېشنيزه:ناروغۍ	Kategori:Sjukdomar
وېشنيزه:ترافيک ترانسپورت	Kategori:Transport
وېشنيزه:کورنۍ	Kategori:Familjeliv
وېشنيزه:قضاء	Kategori:Rättvisa
وېشنيزه:سندرغاړي	Kategori:Sångare
وېشنيزه:وټپوهان	Kategori:Nationalekonomer
کينډۍ:Flagcountry	Mall:Flaggbild2
کينډۍ:د ژبې مالوماتبکس	Mall:Språk
وېشنيزه:ځمکپوهان	Kategori:Geografer
وېشنيزه:ولسواکي	Kategori:Demokrati
وېشنيزه:درمل	Kategori:Läkemedel
وېشنيزه:ټانکونه	Kategori:Stridsvagnar
وېشنيزه:د آفریقا د هېوادونو پلازمېنې	Kategori:Afrikas huvudstäder
وېشنيزه:ايراني هڅوب	Kategori:Kultur i Iran
وېشنيزه:د رومانیا ښارونه	Kategori:Orter i Rumänien
وېشنيزه:کراچۍ	Kategori:Karachi
وېشنيزه:کابل	Kategori:Kabul
وېشنيزه:د آسیا د هېوادونو پلازمېنې	Kategori:Asiens huvudstäder
وېشنيزه:چېکي واکمنان	Kategori:Böhmens regenter
وېشنيزه:د افغانستان ژبې	Kategori:Språk i Afghanistan
وېشنيزه:هندوکش	Kategori:Hindukush
وېشنيزه:هزاره ګان	Kategori:Hazarer
وېشنيزه:شوبلې ضد وسلې	Kategori:Pansarvärnsrobotar
وېشنيزه:افغاني ګوندونه	Kategori:Politiska partier i Afghanistan
کينډۍ:د هېواد مالومات اسپانيا	Mall:Landsdata Spanien
کينډۍ:دچينايي-لوبگراوسندرغاړي-مالوماتبکس	Mall:Kinesisk skådespelare och musiker
کينډۍ:د هېواد مالومات کاناډا	Mall:Landsdata Kanada
کينډۍ:د هېواد مالومات بربادوس	Mall:Landsdata Barbados
کينډۍ:د هېواد مالومات ګرېنادا	Mall:Landsdata Grenada
کينډۍ:د هېواد مالومات اردن	Mall:Landsdata Jordanien
کينډۍ:د هېواد مالومات قرغزستان	Mall:Landsdata Kirgizistan
کينډۍ:د هېواد مالومات لېسوتو	Mall:Landsdata Lesotho
کينډۍ:د هېواد مالومات لايبېريا	Mall:Landsdata Liberia
کينډۍ:د هېواد مالومات ملاوي	Mall:Landsdata Malawi
کينډۍ:د هېواد مالومات مالديپ	Mall:Landsdata Maldiverna
کينډۍ:د هېواد مالومات ماورېشوس	Mall:Landsdata Mauritius
کينډۍ:د هېواد مالومات مغولستان	Mall:Landsdata Mongoliet
کينډۍ:د هېواد مالومات نايجېر	Mall:Landsdata Niger
کينډۍ:د هېواد مالومات فلسطين	Mall:Landsdata Palestina
کينډۍ:د هېواد مالومات پورټو ريکو	Mall:Landsdata Puerto Rico
کينډۍ:د هېواد مالومات راوانډا	Mall:Landsdata Rwanda
کينډۍ:د هېواد مالومات سېراليون	Mall:Landsdata Sierra Leone
کينډۍ:د هېواد مالومات سورينام	Mall:Landsdata Surinam
کينډۍ:د هېواد مالومات سوريه	Mall:Landsdata Syrien
کينډۍ:د هېواد مالومات سېنگاپور	Mall:Landsdata Singapore
کينډۍ:د هېواد مالومات يوگانډا	Mall:Landsdata Uganda
کينډۍ:د هېواد مالومات ونواتو	Mall:Landsdata Vanuatu
کينډۍ:د هېواد مالومات يمن	Mall:Landsdata Jemen
کينډۍ:د هېواد مالومات زېمبيا	Mall:Landsdata Zambia
وېشنيزه:افغان جنګسالاران	Kategori:Afghanska krigsherrar
کينډۍ:د هېواد مالومات اېرېتېريا	Mall:Landsdata Eritrea
کينډۍ:رنگ مالوماتبکس	Mall:Färg infobox
وېشنيزه:د آسیا هېوادونه	Kategori:Asiens länder
کينډۍ:تصوف	Mall:Sufism
کينډۍ:سياسي اندونه	Mall:Politiska ideologier
وېشنيزه:مسافروړونکي الوتکې	Kategori:Passagerarflygplan
کينډۍ:د هېواد مالومات عربي ټولنه	Mall:Landsdata Arabförbundet
وېشنيزه:د القلوید مواد	Kategori:Alkaloider
کينډۍ:د هېواد مالومات لوېديځه سحارا	Mall:Landsdata Västsahara
کينډۍ:د هېواد مالومات د فالکلاند ټاپوان	Mall:Landsdata Falklandsöarna
نومونپوهنه	Terminologi
کينډۍ:د هېواد مالومات ګونې	Mall:Landsdata Guinea
کينډۍ:د هېواد مالومات ګوينې بېساو	Mall:Landsdata Guinea-Bissau
کينډۍ:وسله مالوماتبکس	Mall:Faktamall vapen
کينډۍ:د هېواد مالومات آذربايجان-SSR	Mall:Landsdata Azerbajdzjanska SSR
کينډۍ:غوږ شه	Mall:Lyssna
وېشنيزه:د ساسانیانو حکمرانان	Kategori:Sasanidiska dynastin
کينډۍ:د هېواد مالومات مقدونيه	Mall:Landsdata Makedonien
وېشنيزه:بسونه	Kategori:Bussar
وېشنيزه:تصوف	Kategori:Sufism
وېشنيزه:ورکړېنې	Kategori:Skatter
کينډۍ:د هېواد مالومات تانزانيا	Mall:Landsdata Tanzania
وېشنيزه:ټراکټورونه	Kategori:Traktorer
وېشنيزه:پاکستانی جنرالان	Kategori:Pakistanska generaler
کينډۍ:د هېواد مالومات سوماليا	Mall:Landsdata Somalia
وېشنيزه:پاکستاني جوماتونه	Kategori:Moskéer i Pakistan
وېشنيزه:پښتو ژبه	Kategori:Pashto
وېشنيزه:د چیک ولسمشران	Kategori:Tjeckiens presidenter
وېشنيزه:قراني سورتونه	Kategori:Suror
وېشنيزه:User en-1	Kategori:Användare en-1
وېشنيزه:اسلامپوهان	Kategori:Islamologer
ويکيپېډيا:ځان زده کړه (په ياد ولره)	Wikipedia:Kom ihåg
دويم بريدمن	Underlöjtnant
کينډۍ:Col-2	Mall:Booleq
ټنک ولسوالۍ	Tank (distrikt)
کينډۍ:Supranational European Bodies	Mall:Överstatliga europeiska organ
کينډۍ:د بلوچستان ولسوالۍ (پاکستان)	Mall:Baluchistans administrativa indelning
کينډۍ:د پنجاب ولسوالۍ (پاکستان)	Mall:Punjab Pakistan administrativa indelning
کوکۍ	Dagfjärilar
قيامت	Qiyamah
درملتون	Apotek
کينډۍ:Style/ril	Mall:Style/ril
کينډۍ:Style/IPA	Mall:Style/IPA
کينډۍ:Style/yid	Mall:Style/yid
سوفيست	Sofister
کينډۍ:Booleq/eq2	Mall:Booleq/eq2
کينډۍ:د هېواد مالومات عمان	Mall:Landsdata Oman
کينډۍ:د هېواد مالومات موزمبيق	Mall:Landsdata Moçambique
کينډۍ:د هېواد مالومات کېمرون	Mall:Landsdata Kamerun
Module:Roman	Modul:Roman
Module:ConvertNumeric	Modul:ConvertNumeric
Module:Factorization	Modul:Factorization
ځانګړی:اوسني بدلونونه	Special:Senaste ändringar
Module:Coordinates	Modul:Coordinates
